#,Player,Nation,Position,Team,League,Age,Born,90s,TotPass,PassAtt,TotDist,PrgDist,ShortPass,ShortPassAtt,MedPass,MedPassAtt,LongPass,LongPassAtt,Asissts,Goals,Shoots,SoT,FreeKicks,SCA,PassLiveToShoot,PassDeadToShoot,DribToShoot,ShootToShoot,FoulToShoot,DefToShoot,GCA,PassLiveToGoal,PassDeadToGoal,DribToGoal,ShootToGoal,FoulToGoal,DefToGoal
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,1087,1440,18371,6874,560,622,419,544,98,217,2,0,13,2,0,38,27,2,3,4,2,0,5,5,0,0,0,0,0
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1281,1555,27665,9529,339,377,740,828,187,303,0,2,18,6,0,21,14,0,3,1,0,3,1,0,0,1,0,0,0
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1532,1671,28312,5052,616,659,708,746,184,214,0,1,18,5,0,40,30,0,0,4,4,2,1,1,0,0,0,0,0
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,1334,1635,25609,6758,534,603,566,644,205,308,2,0,30,7,0,66,49,2,1,1,7,6,5,4,0,0,0,1,0
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,2,6,24,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,90,139,1296,330,54,78,25,38,5,10,1,0,18,4,0,20,12,0,0,1,2,5,2,1,0,0,1,0,0
7,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,8,10,100,22,4,6,4,4,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,23,1997,34.3,500,694,7714,1755,298,391,139,201,44,55,4,17,93,32,2,80,56,1,1,13,6,3,12,5,0,1,3,3,0
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25,1996,6.2,194,220,4320,1153,42,46,115,124,36,48,0,0,2,0,0,3,1,0,0,2,0,0,1,0,0,0,1,0,0
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33,1988,28.2,1812,2006,37942,11558,567,609,940,996,280,363,0,4,16,7,0,18,14,1,0,1,2,0,2,1,0,0,0,1,0
11,Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,42,71,607,127,22,35,17,27,1,3,1,0,11,2,0,5,3,0,1,1,0,0,1,0,0,0,1,0,0
12,Mohamed Achi\1e93fc5d,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,3,5,49,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1564,1971,32212,11965,591,635,682,803,275,474,3,1,17,5,1,66,42,16,1,3,4,0,3,1,2,0,0,0,0
14,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,337,484,5275,1087,187,240,101,135,30,53,3,7,49,24,0,51,34,0,1,4,11,1,4,3,0,0,0,0,1
